method,partition,metric,old,new,delta,abs_delta
S+X2,FKIT,continuity,99.7,,,
S+X2,FKIT,flicker,0.0,,,
SegMan,N5K,sigma,2.3,,,
DEVA,FKIT,drift,0.4,,,
SegMan,V&F,drift,4.0,,,
DEVA,FKIT,continuity,99.6,,,
SegMan,V&F,sigma,20.2,,,
S+X2,N5K,sigma,2.3,,,
SegMan,V&F,continuity,96.0,,,
DEVA,FKIT,flicker,0.1,,,
SegMan,V&F,flicker,5.2,,,
S+X2,V&F,drift,1.4,,,
S+X2,V&F,sigma,19.4,,,
DEVA,V&F,sigma,31.4,,,
SegMan,MTF,drift,2.9,,,
SegMan,MTF,sigma,11.8,,,
SegMan,MTF,continuity,97.1,,,
SegMan,MTF,flicker,3.1,,,
S+X2,MTF,drift,0.5,,,
S+X2,MTF,sigma,7.9,,,
Seg+S2,N5K,drift,1.2,,,
DEVA,MTF,sigma,22.5,,,
Seg+S2,N5K,sigma,5.5,,,
Seg+S2,N5K,continuity,98.8,,,
Seg+S2,N5K,flicker,0.8,,,
Y+S2,N5K,drift,1.5,,,
Y+S2,N5K,sigma,33.8,,,
Y+X2,N5K,drift,1.3,,,
Y+S2,N5K,continuity,98.5,,,
Y+S2,N5K,flicker,1.1,,,
Y+X2,N5K,continuity,98.7,,,
Y+X2,N5K,flicker,0.5,,,
FSAM,N5K,drift,1.5,,,
FSAM,N5K,sigma,4.8,,,
SegMan,FKIT,drift,5.1,,,
FSAM,N5K,continuity,98.5,,,
FSAM,V&F,drift,3.4,,,
FSAM,N5K,flicker,0.0,,,
SegMan,FKIT,sigma,28.7,,,
SegMan,FKIT,continuity,94.9,,,
