method,partition,metric,n_runs,mean,std,min,max
FSAM,FKIT,mAP,5,89.8900,0.0000,89.8900,89.8900
FSAM,FKIT,recall,5,88.4800,0.0000,88.4800,88.4800
FSAM,FKIT,precision,5,89.8900,0.0000,89.8900,89.8900
FSAM,FKIT,f1,5,86.9300,0.0000,86.9300,86.9300
FSAM,FKIT,iou,5,80.3000,0.0000,80.3000,80.3000
FSAM,FKIT,accuracy,5,99.2400,0.0000,99.2400,99.2400
FoodMem,N5K,mAP,5,94.3500,0.0000,94.3500,94.3500
FoodMem,N5K,recall,5,99.0100,0.0000,99.0100,99.0100
FoodMem,N5K,precision,5,94.3500,0.0000,94.3500,94.3500
FoodMem,N5K,f1,5,96.6000,0.0000,96.6000,96.6000
FoodMem,N5K,iou,5,93.4500,0.0000,93.4500,93.4500
FoodMem,N5K,accuracy,5,98.5800,0.0000,98.5800,98.5800
FoodMem,MTF,mAP,5,98.3400,0.0000,98.3400,98.3400
FoodMem,MTF,recall,5,97.6500,0.0000,97.6500,97.6500
FoodMem,MTF,precision,5,98.3400,0.0000,98.3400,98.3400
FoodMem,MTF,f1,5,97.9100,0.0000,97.9100,97.9100
FoodMem,MTF,iou,5,96.0500,0.0000,96.0500,96.0500
FoodMem,MTF,accuracy,5,99.8400,0.0000,99.8400,99.8400
FoodMem,VF,mAP,5,82.6300,0.0000,82.6300,82.6300
FoodMem,VF,recall,5,91.6800,0.0000,91.6800,91.6800
FoodMem,VF,precision,5,82.6300,0.0000,82.6300,82.6300
FoodMem,VF,f1,5,84.2800,0.0000,84.2800,84.2800
FoodMem,VF,iou,5,79.1200,0.0000,79.1200,79.1200
FoodMem,VF,accuracy,5,98.1300,0.0000,98.1300,98.1300
FoodMem,FKIT,mAP,5,96.3400,0.0000,96.3400,96.3400
FoodMem,FKIT,recall,5,92.5300,0.0000,92.5300,92.5300
FoodMem,FKIT,precision,5,96.3400,0.0000,96.3400,96.3400
FoodMem,FKIT,f1,5,92.9800,0.0000,92.9800,92.9800
FoodMem,FKIT,iou,5,91.4400,0.0000,91.4400,91.4400
FoodMem,FKIT,accuracy,5,99.7200,0.0000,99.7200,99.7200
S+X2,N5K,mAP,5,82.8100,0.0000,82.8100,82.8100
S+X2,N5K,recall,5,97.0900,0.0000,97.0900,97.0900
S+X2,N5K,precision,5,82.8100,0.0000,82.8100,82.8100
S+X2,N5K,f1,5,88.7600,0.0000,88.7600,88.7600
S+X2,N5K,iou,5,80.2400,0.0000,80.2400,80.2400
S+X2,N5K,accuracy,5,95.1100,0.0000,95.1100,95.1100
S+X2,MTF,mAP,5,53.7100,0.0000,53.7100,53.7100
S+X2,MTF,recall,5,55.1500,0.0000,55.1500,55.1500
S+X2,MTF,precision,5,53.7100,0.0000,53.7100,53.7100
S+X2,MTF,f1,5,48.1800,0.0000,48.1800,48.1800
S+X2,MTF,iou,5,40.7900,0.0000,40.7900,40.7900
S+X2,MTF,accuracy,5,96.0800,0.0000,96.0800,96.0800
S+X2,VF,mAP,5,34.3300,0.0000,34.3300,34.3300
S+X2,VF,recall,5,21.8000,0.0000,21.8000,21.8000
S+X2,VF,precision,5,34.3300,0.0000,34.3300,34.3300
S+X2,VF,f1,5,24.7600,0.0000,24.7600,24.7600
S+X2,VF,iou,5,19.7300,0.0000,19.7300,19.7300
S+X2,VF,accuracy,5,96.2900,0.0000,96.2900,96.2900
