method,frame,mAP,recall,iou,accuracy
FoodLMM,229,99.7047,71.7739,71.6217,99.0129
FoodLMM,230,99.3382,67.3079,67.0074,98.8559
FoodLMM,231,0.0000,0.0000,0.0000,96.5961
FoodLMM,232,99.3255,55.3354,55.1283,98.4740
FoodLMM,233,99.7549,51.0114,50.9476,98.3560
FoodLMM,234,99.8714,74.5667,74.4952,99.1539
FoodLMM,235,97.8196,74.8446,73.6164,99.1137
FoodLMM,236,99.3091,84.5592,84.0647,99.4757
FoodLMM,237,99.0567,57.2047,56.8948,98.5958
FoodLMM,238,0.0000,0.0000,0.0000,96.7837
FoodLMM,239,99.5377,87.3558,87.0028,99.5812
FoodLMM,240,99.6810,87.4396,87.1956,99.5884
FoodLMM,241,0.0000,0.0000,0.0000,96.8171
FoodLMM,242,99.3740,87.2041,86.7277,99.5783
FoodLMM,243,0.0000,0.0000,0.0000,96.8857
FoodLMM,244,0.0000,0.0000,0.0000,96.9402
FoodLMM,245,98.0012,95.9744,94.1318,99.8200
FoodLMM,246,98.5831,97.5166,96.1688,99.8857
FoodLMM,247,99.7553,95.7715,95.5470,99.8708
FoodLMM,248,0.0000,0.0000,0.0000,97.1334
FoodLMM,249,99.8692,65.8449,65.7881,99.0234
FoodLMM,250,0.0000,0.0000,0.0000,97.1759
FoodLMM,251,0.0000,0.0000,0.0000,97.1560
FoodLMM,252,99.3983,96.1044,95.5485,99.8720
FoodLMM,253,99.2742,83.1710,82.6683,99.4897
FoodLMM,254,0.0000,0.0000,0.0000,97.0744
FoodLMM,255,99.7752,57.7808,57.7056,98.7295
FoodLMM,256,99.5778,76.0609,75.8164,99.2490
FoodLMM,257,0.0000,0.0000,0.0000,96.8341
FoodLMM,258,99.6361,95.1018,94.7726,99.8274
FoodLMM,259,98.4889,95.2814,93.9086,99.7878
FoodLMM,260,99.8865,71.6069,71.5487,98.9871
FoodLMM,261,99.9727,87.0763,87.0556,99.5281
FoodLMM,262,99.6355,96.3142,95.9761,99.8491
FoodLMM,263,99.8971,84.7587,84.6848,99.4155
FoodLMM,264,100.0000,72.7389,72.7389,98.9482
FoodLMM,265,100.0000,60.6443,60.6443,98.4677
FoodLMM,266,100.0000,75.1146,75.1146,99.0262
FoodLMM,267,99.9895,70.9169,70.9117,98.8649
FoodLMM,268,99.9413,89.7753,89.7280,99.6050
FoodLMM,269,0.0000,0.0000,0.0000,96.2342
FoodLMM,270,99.9932,57.8493,57.8470,98.4460
FoodLMM,271,0.0000,0.0000,0.0000,96.3757
FoodLMM,272,0.0000,0.0000,0.0000,96.4197
FoodLMM,273,0.0000,0.0000,0.0000,96.4538
FoodLMM,274,100.0000,39.7850,39.7850,97.8764
FoodLMM,275,100.0000,51.4485,51.4485,98.3003
FoodLMM,276,0.0000,0.0000,0.0000,96.5182
FoodLMM,277,0.0000,0.0000,0.0000,96.5302
FoodLMM,278,0.0000,0.0000,0.0000,96.5506
FoodLMM,279,100.0000,63.9340,63.9340,98.7665
FoodLMM,280,0.0000,0.0000,0.0000,96.5949
FoodLMM,281,100.0000,36.1174,36.1174,97.8124
FoodLMM,282,100.0000,40.8034,40.8034,97.9596
FoodLMM,283,0.0000,0.0000,0.0000,96.4957
FoodLMM,284,0.0000,0.0000,0.0000,96.4434
FoodLMM,285,99.9879,65.8614,65.8561,98.7629
FoodLMM,286,100.0000,52.2053,52.2053,98.2363
FoodLMM,287,99.9782,88.4827,88.4657,99.5671
FoodLMM,288,0.0000,0.0000,0.0000,96.1829
FoodLMM,289,99.8980,95.3658,95.2730,99.8173
FoodLMM,290,99.9712,90.9138,90.8901,99.6473
FoodLMM,291,0.0000,0.0000,0.0000,96.1416
FoodLMM,292,100.0000,60.1061,60.1061,98.4546
FoodLMM,293,99.9680,92.4730,92.4456,99.7049
FoodLMM,294,100.0000,67.7463,67.7463,98.7264
FoodLMM,295,100.0000,60.4300,60.4300,98.4184
FoodLMM,296,100.0000,53.8412,53.8412,98.1207
FoodLMM,297,100.0000,58.2952,58.2952,98.2616
FoodLMM,298,100.0000,43.9614,43.9614,97.6149
FoodLMM,299,0.0000,0.0000,0.0000,95.6367
FoodLMM,300,100.0000,43.1245,43.1245,97.4502
FoodLMM,301,100.0000,48.0968,48.0968,97.6050
FoodLMM,302,99.9952,63.7655,63.7636,98.2839
FoodLMM,303,100.0000,73.8702,73.8702,98.7377
FoodLMM,304,100.0000,49.0666,49.0666,97.5054
FoodLMM,305,99.9782,93.8732,93.8539,99.6963
FoodLMM,306,99.9769,75.9822,75.9689,98.8105
FoodLMM,307,100.0000,55.5434,55.5434,97.8164
FoodLMM,308,99.9241,63.1472,63.1169,98.2182
FoodLMM,309,99.9116,97.2337,97.1501,99.8657
FoodLMM,310,99.9875,75.6100,75.6028,98.8802
FoodLMM,311,99.9205,60.8550,60.8255,98.2425
FoodLMM,312,0.0000,0.0000,0.0000,95.6251
FoodLMM,313,0.0000,0.0000,0.0000,95.7050
FoodLMM,314,0.0000,0.0000,0.0000,95.7261
FoodLMM,315,99.9947,64.4569,64.4547,98.4896
FoodLMM,316,99.9637,56.3875,56.3759,98.1519
FoodLMM,317,99.9826,58.7649,58.7589,98.2520
FoodLMM,318,0.0000,0.0000,0.0000,95.7844
FoodLMM,319,100.0000,55.9282,55.9282,98.1425
FoodLMM,320,100.0000,55.8260,55.8260,98.1385
FoodLMM,321,100.0000,53.6503,53.6503,98.0408
FoodLMM,322,100.0000,54.3483,54.3483,98.0657
FoodLMM,323,0.0000,0.0000,0.0000,95.7335
FoodLMM,324,100.0000,56.2756,56.2756,98.1160
FoodLMM,325,99.9955,74.0728,74.0704,98.8782
FoodLMM,326,100.0000,61.5013,61.5013,98.3186
FoodLMM,327,0.0000,0.0000,0.0000,95.5602
FoodLMM,328,0.0000,0.0000,0.0000,95.5104
FoodLMM,329,0.0000,0.0000,0.0000,95.4659
FoodLMM,330,100.0000,58.8783,58.8783,98.1288
FoodLMM,331,0.0000,0.0000,0.0000,95.4857
FoodLMM,332,100.0000,56.8339,56.8339,98.0741
FoodLMM,333,100.0000,57.2357,57.2357,98.1159
FoodLMM,334,100.0000,58.0267,58.0267,98.1616
FoodLMM,335,0.0000,0.0000,0.0000,95.6521
FoodLMM,336,0.0000,0.0000,0.0000,95.6626
FoodLMM,337,0.0000,0.0000,0.0000,95.6713
FoodLMM,338,0.0000,0.0000,0.0000,95.7047
FoodLMM,339,100.0000,61.1799,61.1799,98.3387
FoodLMM,340,0.0000,0.0000,0.0000,95.7370
FoodLMM,341,0.0000,0.0000,0.0000,95.7575
FoodLMM,342,99.9407,28.7816,28.7767,96.9803
FoodLMM,343,85.2439,14.2180,13.8765,96.2808
FoodLMM,344,0.0000,0.0000,0.0000,95.8205
FoodLMM,345,0.0000,0.0000,0.0000,95.9107
FoodLMM,346,0.0000,0.0000,0.0000,96.0221
FoodLMM,347,0.0000,0.0000,0.0000,96.1455
FoodLMM,348,0.0000,0.0000,0.0000,96.2446
FoodLMM,349,0.0000,0.0000,0.0000,96.3672
FoodLMM,350,100.0000,50.0184,50.0184,98.2322
FoodLMM,351,0.0000,0.0000,0.0000,96.5650
FoodLMM,352,0.0000,0.0000,0.0000,96.6298
FoodLMM,353,0.0000,0.0000,0.0000,96.6483
FoodLMM,354,0.0000,0.0000,0.0000,96.6820
FoodLMM,355,0.0000,0.0000,0.0000,96.7433
FoodLMM,356,0.0000,0.0000,0.0000,96.7695
FoodLMM,357,0.0000,0.0000,0.0000,96.7785
FoodLMM,358,99.1703,94.3256,93.5871,99.7950
FoodLMM,359,99.9482,80.1209,80.0877,99.3756
FoodLMM,360,99.9735,87.6227,87.6023,99.6143
FoodLMM,361,99.9263,82.3967,82.3466,99.4534
FoodLMM,362,99.9051,89.3401,89.2643,99.6704
FoodLMM,363,0.0000,0.0000,0.0000,96.9677
FoodLMM,364,0.0000,0.0000,0.0000,97.0078
FoodLMM,365,0.0000,0.0000,0.0000,97.0191
FoodLMM,366,0.0000,0.0000,0.0000,97.0599
FoodLMM,367,0.0000,0.0000,0.0000,97.1032
FoodLMM,368,0.0000,0.0000,0.0000,97.1535
FoodLMM,369,0.0000,0.0000,0.0000,97.2234
FoodLMM,370,0.0000,0.0000,0.0000,97.2828
FoodLMM,371,0.0000,0.0000,0.0000,97.3129
FoodLMM,372,0.0000,0.0000,0.0000,97.3300
FoodLMM,373,0.0000,0.0000,0.0000,97.3325
FoodLMM,374,0.0000,0.0000,0.0000,97.3262
FoodLMM,375,0.0000,0.0000,0.0000,97.3534
FoodLMM,376,0.0000,0.0000,0.0000,97.3226
FoodLMM,377,0.0000,0.0000,0.0000,97.2966
