method,partition,metric,n_runs,mean,std,min,max
SeTN,FKIT,drift,5,6.0229,0.0,6.0229,6.0229
SeTN,FKIT,flicker,5,8.0322,0.0,8.0322,8.0322
SeTN,FKIT,sigma,5,30.0694,0.0,30.0694,30.0694
SeTN,MTF,continuity,5,95.3341,0.0,95.3341,95.3341
SeTN,MTF,drift,5,4.443,0.0,4.443,4.443
SeTN,MTF,flicker,5,2.8052,0.0,2.8052,2.8052
SeTN,MTF,sigma,5,15.9252,0.0,15.9252,15.9252
SeTN,N5K,continuity,5,100.0,0.0,100.0,100.0
SeTN,N5K,drift,5,1.2083,0.0,1.2083,1.2083
SeTN,N5K,flicker,5,0.0,0.0,0.0,0.0
SeTN,N5K,sigma,5,3.2451,0.0,3.2451,3.2451
SeTN,VF,continuity,5,64.6764,0.0,64.6764,64.6764
SeTN,VF,drift,5,9.2378,0.0,9.2378,9.2378
SeTN,VF,flicker,5,15.5324,0.0,15.5324,15.5324
SeTN,VF,sigma,5,30.6567,0.0,30.6567,30.6567
Seg+S2,FKIT,continuity,5,0.9953,0.0,0.9953,0.9953
Seg+S2,FKIT,drift,5,1.6509,0.0,1.6509,1.6509
Seg+S2,FKIT,flicker,5,0.9577,0.0,0.9577,0.9577
Seg+S2,FKIT,sigma,5,12.4939,0.0,12.4939,12.4939
Seg+S2,MTF,continuity,5,3.5896,0.0,3.5896,3.5896
Seg+S2,MTF,drift,5,5.0853,0.0,5.0853,5.0853
Seg+S2,MTF,flicker,5,6.1048,0.0,6.1048,6.1048
Seg+S2,MTF,sigma,5,19.3611,0.0,19.3611,19.3611
Seg+S2,N5K,continuity,5,52.7619,0.0,52.7619,52.7619
Seg+S2,N5K,drift,5,6.1319,0.0,6.1319,6.1319
Seg+S2,N5K,flicker,5,10.978,0.0,10.978,10.978
Seg+S2,N5K,sigma,5,23.3052,0.0,23.3052,23.3052
Seg+S2,VF,continuity,5,1.0937,0.0,1.0937,1.0937
Seg+S2,VF,drift,5,4.8487,0.0,4.8487,4.8487
Seg+S2,VF,flicker,5,7.189,0.0,7.189,7.189
Seg+S2,VF,sigma,5,14.6315,0.0,14.6315,14.6315
Seg+S3,FKIT,continuity,5,15.8602,0.0,15.8602,15.8602
Seg+S3,FKIT,drift,5,1.3997,0.0,1.3997,1.3997
Seg+S3,FKIT,flicker,5,0.8718,0.0,0.8718,0.8718
Seg+S3,FKIT,sigma,5,26.6183,0.0,26.6183,26.6183
Seg+S3,MTF,continuity,5,38.9321,0.0,38.9321,38.9321
Seg+S3,MTF,drift,5,2.4312,0.0,2.4312,2.4312
Seg+S3,MTF,flicker,5,1.4862,0.0,1.4862,1.4862
Seg+S3,MTF,sigma,5,35.2304,0.0,35.2304,35.2304
Seg+S3,N5K,continuity,5,96.6129,0.0,96.6129,96.6129
Seg+S3,N5K,drift,5,1.8857,0.0,1.8857,1.8857
Seg+S3,N5K,flicker,5,0.9785,0.0,0.9785,0.9785
Seg+S3,N5K,sigma,5,13.0321,0.0,13.0321,13.0321
Seg+S3,VF,continuity,5,48.8782,0.0,48.8782,48.8782
Seg+S3,VF,drift,5,2.47,0.0,2.47,2.47
