method,partition,metric,old_value,old_std
SeTN,FKIT,sigma,30.1,30.1
SeTN,MTF,sigma,15.9,15.9
SeTN,N5K,sigma,3.2,3.2
SeTN,V&F,sigma,24.3,24.3
SeTN,GLOBAL,continuity,94.8,3.3
SeTN,GLOBAL,flicker,6.7,6.9
SeTN,GLOBAL,drift,5.2,3.3
SeTN,GLOBAL,sigma,18.4,11.7
FPN-Re,FKIT,continuity,92.5,10.1
FPN-Re,MTF,continuity,88.5,12.1
FPN-Re,N5K,continuity,94.5,6.1
FPN-Re,V&F,continuity,91.3,11.5
FPN-Re,FKIT,flicker,10.4,0.0
FPN-Re,MTF,flicker,19.4,0.0
FPN-Re,N5K,flicker,3.9,0.0
FPN-Re,V&F,flicker,12.3,0.0
FPN-Re,FKIT,drift,7.5,10.1
FPN-Re,MTF,drift,11.5,12.1
FPN-Re,N5K,drift,5.5,6.1
FPN-Re,V&F,drift,8.7,11.5
FPN-Re,FKIT,sigma,23.1,23.1
FPN-Re,MTF,sigma,29.8,29.8
FPN-Re,N5K,sigma,10.7,10.7
FPN-Re,V&F,sigma,27.2,27.2
FPN-Re,GLOBAL,continuity,91.7,2.5
FPN-Re,GLOBAL,flicker,11.5,6.4
FPN-Re,GLOBAL,drift,8.3,2.5
FPN-Re,GLOBAL,sigma,22.7,8.5
Swin-S,FKIT,continuity,92.5,13.6
Swin-S,MTF,continuity,96.2,10.0
Swin-S,N5K,continuity,98.6,2.2
Swin-S,V&F,continuity,91.7,12.7
Swin-S,FKIT,flicker,12.1,0.0
Swin-S,MTF,flicker,4.9,0.0
Swin-S,N5K,flicker,0.0,0.0
Swin-S,V&F,flicker,13.1,0.0
Swin-S,FKIT,drift,7.5,13.6
Swin-S,MTF,drift,3.8,10.0
Swin-S,N5K,drift,1.4,2.2
Swin-S,V&F,drift,8.3,12.7
Swin-S,FKIT,sigma,29.1,29.1
Swin-S,MTF,sigma,11.7,11.7
Swin-S,N5K,sigma,2.7,2.7
Swin-S,V&F,sigma,25.9,25.9
Swin-S,GLOBAL,continuity,94.8,3.2
Swin-S,GLOBAL,flicker,7.5,6.2
Swin-S,GLOBAL,drift,5.2,3.2
Swin-S,GLOBAL,sigma,17.3,12.3
YOLO,FKIT,continuity,86.0,30.2
YOLO,MTF,continuity,80.0,35.9
YOLO,N5K,continuity,88.9,23.7
YOLO,V&F,continuity,80.2,30.2
YOLO,FKIT,flicker,17.6,0.0
YOLO,MTF,flicker,23.5,0.0
YOLO,N5K,flicker,14.7,0.0
YOLO,V&F,flicker,29.6,0.0
YOLO,FKIT,drift,14.0,30.2
YOLO,MTF,drift,20.0,35.9
YOLO,N5K,drift,11.1,23.7
YOLO,V&F,drift,19.8,30.2
YOLO,FKIT,sigma,43.4,43.4
YOLO,MTF,sigma,40.6,40.6
YOLO,N5K,sigma,30.6,30.6
YOLO,V&F,sigma,38.3,38.3
YOLO,GLOBAL,continuity,83.8,4.4
YOLO,GLOBAL,flicker,21.3,6.6
YOLO,GLOBAL,drift,16.2,4.4
YOLO,GLOBAL,sigma,38.2,5.5
